MetaNetX,equation,deltag
MNXR191863,(1) cpd00004[0] + (3) cpd00067[0] + (2) cpd00766[0] => (1) cpd00003[0] + (2) cpd00059[0]; (1) cpd00003[0] + (2) cpd00059[0] <= (1) cpd00004[0] + (3) cpd00067[0] + (2) cpd00766[0]; C00003 + 2 C00072 <=> C00004 + 2 C01041 + C00080,10000000.0
MNXR189509,C00541 <=> C00992; (2) cpd00001[0] + (1) cpd00003[0] + (1) cpd00067[0] + (2) cpd00423[0] <= (1) cpd00004[0] + (2) cpd00730[0],10000000.0
MNXR189084,C00853 <=> C00541; (1) cpd00003[0] + (1) cpd00067[0] + (2) cpd00635[0] <= (1) cpd00004[0] + (2) cpd00423[0],10000000.0
MNXR146847,(1) cpd00004[0] + (2) cpd11795[0] <=> (1) cpd00003[0] + (1) cpd00067[0] + (2) cpd11797[0]; (1) cpd00004[0] + (1) cpd00067[0] + (2) cpd11795[0] => (1) cpd00003[0] + (2) cpd11797[0]; C00004 + 2 C00996 <=> C00003 + 2 C00999 + C00080,10000000.0
MNXR146851,(1) cpd00004[0] + (2) cpd12158[0] => (1) cpd00003[0] + (1) cpd00067[0] + (2) cpd12160[0]; C00004 + 2 C02683 <=> C00003 + 2 C02685 + C00080,10000000.0
MNXR101888; MNXR145761,C00003 + C00001 <=> C00153 + C00301; (1) cpd00001[0] + (1) cpd00003[0] => (1) cpd00067[0] + (1) cpd00133[0] + (1) cpd00251[0]; (1) cpd00001[0] + (1) cpd00003[0] <=> (1) cpd00067[0] + (1) cpd00133[0] + (1) cpd00251[0],-8.85
MNXR145755; MNXR101861,C00003 + C00001 <=> C00020 + C00455; (1) cpd00001[0] + (1) cpd00003[0] => (1) cpd00018[0] + (2) cpd00067[0] + (1) cpd00355[0],-8.79
MNXR101882,(1) cpd00002[0] + (1) cpd00003[0] => (1) cpd00006[0] + (1) cpd00008[0] + (1) cpd00067[0]; C00002 + C00003 <=> C00008 + C00006,-3.14
MNXR106390,C00002 + C00004 <=> C00008 + C00005; (1) cpd00002[0] + (1) cpd00004[0] => (1) cpd00005[0] + (1) cpd00008[0] + (1) cpd00067[0],-3.14
MNXR106391,(1) cpd00005[0] + (2) cpd00685[0] => (1) cpd00006[0] + (1) cpd00067[0] + (2) cpd00686[0]; C00005 + 2 C00923 <=> C00006 + 2 C00924 + C00080,10000000.0
MNXR106393,C00005 + 2 C00997 <=> C00006 + 2 C01000 + C00080; (1) cpd00005[0] + (1) cpd00067[0] + (2) cpd11796[0] => (1) cpd00006[0] + (2) cpd11798[0],10000000.0
MNXR146856,C00005 + 2 C02683 <=> C00006 + 2 C02685 + C00080; (1) cpd00005[0] + (2) cpd12158[0] => (1) cpd00006[0] + (1) cpd00067[0] + (2) cpd12160[0],10000000.0
MNXR191882,(1) cpd00005[0] + (2) cpd00007[0] + (2) cpd03527[0] => (2) cpd00001[0] + (1) cpd00006[0] + (1) cpd00067[0] + (2) cpd00274[0] + (2) cpd00418[0]; C00005 + 2 C05933 + 2 C00007 + C00080 <=> C00006 + 2 C00533 + 2 C00327 + 2 C00001,10000000.0
MNXR101898,C00005 + C00003 <=> C00006 + C00004; (1) cpd00003[0] + (1) cpd00005[0] <=> (1) cpd00004[0] + (1) cpd00006[0],-0.0
MNXR106396,C00027 + C00005 + C00080 <=> C00006 + 2 C00001; (1) cpd00005[0] + (1) cpd00025[0] + (1) cpd00067[0] => (2) cpd00001[0] + (1) cpd00006[0],-77.79
MNXR100291,(1) cpd00006[0] + (2) cpd00023[0] <=> (1) cpd00005[0] + (1) cpd00024[0] + (1) cpd00053[0] + (1) cpd00067[0]; 2 C00025 + C00006 <=> C00064 + C00026 + C00005 + C00080,11.53
MNXR100098,2 C00051 + C00006 <=> C00127 + C00005 + C00080; (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00111[0] <=> (1) cpd00006[0] + (2) cpd00042[0]; (1) cpd00006[0] + (2) cpd00042[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00111[0],3.7; -3.7
